Date,Time,Azimuth,Elevation
2025-04-01,02:45:00,44.81565327915928,-23.893336997715924
2025-04-01,03:00:00,48.44450202014178,-22.211180202379495
2025-04-01,03:15:00,51.97529679259725,-20.433365726738298
2025-04-01,03:30:00,55.41337925014693,-18.56908863171403
2025-04-01,03:45:00,58.765152104450294,-16.627183119685075
2025-04-01,04:00:00,62.03782999568,-14.616092501596157
2025-04-01,04:15:00,65.23923207582595,-12.543862847316918
2025-04-01,04:30:00,68.37761728946504,-10.418154806806864
2025-04-01,04:45:00,71.4615605586041,-8.246268480724025
2025-04-01,05:00:00,74.49986289416938,-6.035179537983723
2025-04-01,05:15:00,77.50149180169473,-3.7915830503409906
2025-04-01,05:30:00,80.47554810545216,-1.5219420579705567
2025-04-01,05:45:00,83.4312519580082,1.1522649693134874
2025-04-01,06:00:00,86.37794482632972,3.2941418088200036
2025-04-01,06:15:00,89.32510449772832,5.532821536385201
2025-04-01,06:30:00,92.28236682703266,7.806194759725711
2025-04-01,06:45:00,95.25955156838626,10.089757857237984
2025-04-01,07:00:00,98.26668945268409,12.370067114892231
2025-04-01,07:15:00,101.3140436674226,14.637367955192593
2025-04-01,07:30:00,104.41212167819151,16.88322754123101
2025-04-01,07:45:00,107.57167235058995,19.099612940347924
2025-04-01,08:00:00,110.80365822034133,21.27845933577506
2025-04-01,08:15:00,114.11919467856501,23.411430621385296
2025-04-01,08:30:00,117.52944615698499,25.489767444266903
2025-04-01,08:45:00,121.04546367154222,27.504181049093958
2025-04-01,09:00:00,124.67795060950726,29.44477993909024
2025-04-01,09:15:00,128.43694392493921,31.301028172621884
2025-04-01,09:30:00,132.33139580943578,33.06173829179083
2025-04-01,09:45:00,136.36865083858947,34.715108501716955
2025-04-01,10:00:00,140.55382487759363,36.24881590673921
2025-04-01,10:15:00,144.88910429687246,37.65017623699956
2025-04-01,10:30:00,149.37301203097968,38.90638101176149
2025-04-01,10:45:00,153.99971522890542,40.00481770940879
2025-04-01,11:00:00,158.7584708576038,40.933468139515014
2025-04-01,11:15:00,163.6333283503286,41.68136963857303
2025-04-01,11:30:00,168.60320656246017,42.2391086247264
2025-04-01,11:45:00,173.6424251357147,42.5993013594868
2025-04-01,12:00:00,178.7217136585789,42.75700936887595
2025-04-01,12:15:00,183.8096381056945,42.7100366615202
2025-04-01,12:30:00,188.87429274532255,42.45906704903881
2025-04-01,12:45:00,193.88505201558246,42.007621798882234
2025-04-01,13:00:00,198.8141630325344,41.361843583528085
2025-04-01,13:15:00,203.63799020502614,40.53013797868991
2025-04-01,13:30:00,208.33780439260806,39.522720729244
2025-04-01,13:45:00,212.90009663384527,38.35112453536469
2025-04-01,14:00:00,217.31646672558273,37.02771598809397
2025-04-01,14:15:00,221.58319118727397,35.56526084164461
2025-04-01,14:30:00,225.70059167730375,33.97656068952411
2025-04-01,14:45:00,229.67231138866362,32.274172026684354
2025-04-01,15:00:00,233.50458921060644,30.470206358412558
2025-04-01,15:15:00,237.20559274832243,28.5762026263261
2025-04-01,15:30:00,240.78484048665064,26.603062031079315
2025-04-01,15:45:00,244.25272773299915,24.561032832339002
2025-04-01,16:00:00,247.62015645174046,22.459733966312946
2025-04-01,16:15:00,250.8982565734252,20.308211961632626
2025-04-01,16:30:00,254.09818679752166,18.11502828054863
2025-04-01,16:45:00,257.23100155927875,15.888382326064626
2025-04-01,17:00:00,260.3075676784904,13.636294351475124
2025-04-01,17:15:00,263.3385198123724,11.366907867007836
2025-04-01,17:30:00,266.33424547298887,9.08907331310843
2025-04-01,17:45:00,269.3048885425585,6.813695608947657
2025-04-01,18:00:00,272.2603655308758,4.557479374110281
2025-04-01,18:15:00,275.2103899581193,2.3555235427994856
2025-04-01,18:30:00,278.1644976320018,0.302250871451993
2025-04-01,18:45:00,281.13206977191726,-2.483583022513774
2025-04-01,19:00:00,284.1223512349606,-4.733491911230662
2025-04-01,19:15:00,287.14445762683926,-6.953809527353805
2025-04-01,19:30:00,290.20736848938606,-9.137944881596495
2025-04-01,19:45:00,293.3199035743854,-11.279053967172016
2025-04-01,20:00:00,296.4906752352389,-13.369993857004296
2025-04-01,20:15:00,299.72801329732124,-15.403283618267205
2025-04-01,20:30:00,303.03985886631244,-17.37107522661707
2025-04-01,20:45:00,306.43362001955404,-19.2651358792429
2025-04-01,21:00:00,309.9159870688628,-21.07684641199428
2025-04-01,21:15:00,313.4927073142441,-22.797220979235217
2025-04-01,21:30:00,317.1683182866233,-24.416951384398395
2025-04-01,21:45:00,320.9458472472933,-25.926481922430604
2025-04-01,22:00:00,324.8264913572316,-27.31611978793165
2025-04-01,22:15:00,328.80929602110666,-28.57618287663265
2025-04-01,22:30:00,332.89086132829954,-29.697186490480338
2025-04-01,22:45:00,337.0651139458032,-30.67006653881692
2025-04-01,23:00:00,341.3231810204959,-31.48643090142488
